record,uuid,start_date,date,status,hCountry,dTrack,LOIM,xpanelPartner,QualityScore_TOTAL,QC_FLAGSr1,S0,S1,S2r1,S2r2,S2r3,S2r4,S2r5,S2r6,S2r7,S2r8,S2r99,S3,S4r1,S4r2,S4r3,S4r4,S4r99,S5r1,S5r2,S5r3,S5r4,S5r99,S5r98,S6,S6r97oe,S7r1,S7r2,S7r3,S7r4,S7r5,S7r6,S7r7,S7r8,S7r9,S7r10,S7r97,S7r98,S7r97oe,S8,S9r1,S9r2,S9r3,S9r4,S9r5,S9r6,S9r7,S9r8,S9r9,S9r10,S9r99,hS9CountSwitchers,TimeSection_Screener,Q1,Q2,Q3r1,Q3r2,Q3r3,Q3r4,Q3r5,Q3r6,Q3r7,Flag_Q3_SL,Q4,Q5r1,Q6r1,Q6r2,Q6r3,Q6r4,Q6r5,Q6r6,Q6r7,Flag_Q6,Flag_Q6_SL,Q7r1,Q7r2,Q7r3,Q7r4,Q7r5,Flag_Q7_SL,Q8,Q9,hACUVUE,hBAUSCH,TimeSection_Section_A
31,mz0qe0smtv9ut5f3,8/22/2025 13:05,8/22/2025 13:07,3,2,0,2.37,1,40.000000000000000,2,1,1,0,0,0,0,0,0,0,0,1,39,1,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,1,,1,0,0,0,0,0,0,0,0,0,0.82,15,1,1,1,1,1,1,1,1,1,1,I have worn them for years and have never had issues seeing out of them or issues with dry eyes. They do tend to rip easily though.,2,1,1,1,5,2,4,0,0,1,1,1,1,1,1,2,1,1,0,1.54
403,008pv99vz88e52ju,8/25/2025 9:46,8/25/2025 9:50,3,2,0,3.42,1,40.000000000000000,2,1,1,0,0,0,0,0,0,0,0,1,60,1,1,1,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,0,,0,0,0,1,0,0,0,0,0,0,1.47,8,2,2,2,2,2,2,2,2,1,1,They are very comfortable and I can see well with them. I also like that they don't dry out.,2,1,1,1,5,2,3,0,0,1,1,1,1,1,1,2,1,1,0,1.94
656,aydstsssy25vvwv3,8/25/2025 9:54,8/25/2025 10:01,3,2,0,7.15,1,40.000000000000000,3,1,1,0,0,0,0,0,0,0,0,1,31,1,1,1,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,1,1,0,0,0,0,0,1,0,,0,0,2.69,10,1,1,1,1,1,1,1,1,1,1,"They keep my eyes comfortable and hydrated throughout the day, even when I am on screens a lot.",1,1,1,1,5,1,1,0,1,1,1,1,1,1,1,1,1,0,1,4.44
775,8syzpp9e302j6ev7,8/25/2025 10:15,8/25/2025 10:17,3,2,0,2.13,1,28.072140544700000,2,1,1,0,0,0,0,0,0,0,0,1,49,0,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,0,,1,0,0,0,0,0,0,0,0,0,0.61,6,2,1,1,1,1,1,2,2,0,1,I have good luck and my eyes dont seem dry after I wear them.,1,1,1,1,5,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1.51
1017,3y783nszfe4x0bgk,8/25/2025 11:26,8/25/2025 11:28,3,2,0,1.93,1,52.904234670700000,1,1,2,0,0,0,0,0,0,0,0,1,41,1,1,1,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,1,1,0,0,0,0,1,1,,0,0,0.76,8,2,2,1,2,2,1,1,1,0,2,I like the way they don't make me feel uncomfortable even for long periods of time,1,2,1,2,5,3,1,0,0,1,1,1,1,1,1,2,1,0,1,1.15
1265,bvz9zqw0nrn3yrxz,8/25/2025 11:30,8/25/2025 11:34,3,2,0,2.72,1,59.242868871900000,0,1,2,0,0,0,0,0,0,0,0,1,47,1,1,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,1,1,0,0,0,0,0,0,0,,0,0,1.09,12,2,1,1,3,2,3,2,3,0,1,They work well and I don't have any problems. My eyes feel fine,2,1,2,1,5,1,1,0,0,2,2,2,1,1,0,3,2,0,1,1.61
1662,dnr81s407y9n1dm1,8/25/2025 13:45,8/25/2025 13:48,3,2,0,3.27,1,72.559599551300000,1,1,1,0,0,0,0,0,0,0,0,1,75,1,1,1,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,0,,0,0,1,0,0,0,0,0,0,0,1.16,8,2,3,2,2,3,3,2,2,0,3,HAVE TO WEAR READING GLASSES WITH THEM  WHEN RADING,1,1,2,1,5,1,4,0,0,1,1,1,1,1,1,2,2,1,0,2.09
1844,gqavf9bv6psb1xb7,8/25/2025 15:04,8/25/2025 15:10,3,2,0,5.72,1,67.700841149100000,1,1,2,0,0,0,0,0,0,0,0,1,26,0,1,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,4,0,,0,0,0,0,0,0,0,0,1,0,0.89,16,2,1,2,2,2,1,3,2,0,2,They do not cause me discomfort which is very important. I can also wear them all day and not have issues after a few hours.,1,1,2,2,5,3,1,0,0,1,1,1,1,1,1,2,2,1,0,4.81
1884,r809g41swxuk0rwz,8/25/2025 15:08,8/25/2025 15:15,3,2,0,7.02,1,64.711295052800000,0,1,2,0,0,0,0,0,0,0,0,1,33,1,0,0,1,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,5,0,,1,0,0,0,0,0,0,1,0,1,3.86,12,3,2,2,3,2,2,1,2,0,2,I have been using these contact lenses for a while and I have never had any issues them. For the hours I do wear them they help a lot and are co,2,2,2,2,5,3,3,0,0,2,1,1,1,1,0,3,1,1,0,3.15
2142,j4q6haw09hf2ems5,8/25/2025 16:46,8/25/2025 16:50,3,2,0,3.93,1,40.000000000000000,2,1,1,0,0,0,0,0,0,0,0,1,66,0,1,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,,4,0,0,1,0,0,0,0,0,0,,0,0,1.83,12,1,1,1,1,1,1,1,1,1,1,easy to wear and comfortable throughout my using them,1,1,1,1,5,1,2,0,0,1,1,1,1,1,1,1,1,0,1,2.09
2171,qeymg5pgybfb1fd7,8/25/2025 17:31,8/25/2025 17:34,3,2,0,2.35,1,65.581629297900000,0,1,2,0,0,0,0,0,0,0,0,1,42,0,1,0,1,0,0,1,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,,3,0,,0,0,0,0,0,0,1,0,0,0,0.68,18,2,1,3,2,2,2,2,2,0,2,These contact lenses keep my eyes from drying out and stay in place even during rigorous activity,2,2,2,2,5,4,4,0,0,1,1,2,1,1,0,2,2,1,0,1.66
