record,uuid,start_date,date,status,hCountry,dTrack,LOIM,xpanelPartner,QualityScore_TOTAL,QC_FLAGSr1,S0,S1,S2r1,S2r2,S2r3,S2r4,S2r5,S2r6,S2r7,S2r8,S2r99,S3,S4r1,S4r2,S4r3,S4r4,S4r99,S5r1,S5r2,S5r3,S5r4,S5r99,S5r98,S6,S6r97oe,S7r1,S7r2,S7r3,S7r4,S7r5,S7r6,S7r7,S7r8,S7r9,S7r10,S7r97,S7r98,S7r97oe,S8,S9r1,S9r2,S9r3,S9r4,S9r5,S9r6,S9r7,S9r8,S9r9,S9r10,S9r99,hS9CountSwitchers,TimeSection_Screener,Q1,Q2,Q3r1,Q3r2,Q3r3,Q3r4,Q3r5,Q3r6,Q3r7,Flag_Q3_SL,Q4,Q5r1,Q6r1,Q6r2,Q6r3,Q6r4,Q6r5,Q6r6,Q6r7,Flag_Q6,Flag_Q6_SL,Q7r1,Q7r2,Q7r3,Q7r4,Q7r5,Flag_Q7_SL,Q8,Q9,hACUVUE,hBAUSCH,TimeSection_Section_A
31,mz0qe0smtv9ut5f3,8/22/2025 13:05,8/22/2025 13:07,Qualified,USA,No Changes,2.37,Dynata,40.000000000000000,2,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,39,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,More than 2 years ago,Yes,,Yes,No,No,No,No,No,No,No,No,No,0.82,15,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Strongly satisfied,I have worn them for years and have never had issues seeing out of them or issues with dry eyes. They do tend to rip easily though.,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Strongly agree,Yes,No,1.54
403,008pv99vz88e52ju,8/25/2025 9:46,8/25/2025 9:50,Qualified,USA,No Changes,3.42,Dynata,40.000000000000000,2,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,60,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,More than 2 years ago,No,,No,No,No,Yes,No,No,No,No,No,No,1.47,8,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Strongly satisfied,They are very comfortable and I can see well with them. I also like that they don't dry out.,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Strongly agree,Yes,No,1.94
656,aydstsssy25vvwv3,8/25/2025 9:54,8/25/2025 10:01,Qualified,USA,No Changes,7.15,Dynata,40.000000000000000,3,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,31,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,Yes,Yes,No,No,No,No,No,Yes,No,,No,No,2.69,10,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Strongly satisfied,"They keep my eyes comfortable and hydrated throughout the day, even when I am on screens a lot.",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,Yes,Applies,Applies,Applies,Applies,Applies,Yes,Strongly agree,Strongly agree,No,Yes,4.44
775,8syzpp9e302j6ev7,8/25/2025 10:15,8/25/2025 10:17,Qualified,USA,No Changes,2.13,Dynata,28.072140544700000,2,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,49,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,More than 2 years ago,No,,Yes,No,No,No,No,No,No,No,No,No,0.61,6,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,No,Strongly satisfied,I have good luck and my eyes dont seem dry after I wear them.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,Yes,Applies,Applies,Applies,Applies,Applies,Yes,Strongly agree,Strongly agree,Yes,No,1.51
1017,3y783nszfe4x0bgk,8/25/2025 11:26,8/25/2025 11:28,Qualified,USA,No Changes,1.93,Dynata,52.904234670700000,1,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,41,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,Yes,Yes,No,No,No,No,Yes,Yes,,No,No,0.76,8,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,No,Satisfied,I like the way they don't make me feel uncomfortable even for long periods of time,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Strongly agree,No,Yes,1.15
1265,bvz9zqw0nrn3yrxz,8/25/2025 11:30,8/25/2025 11:34,Qualified,USA,No Changes,2.72,Dynata,59.242868871900000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,47,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,Yes,Yes,No,No,No,No,No,No,No,,No,No,1.09,12,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,No,Strongly satisfied,They work well and I don't have any problems. My eyes feel fine,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Does not Apply,Does not Apply,Does not Apply,Applies,Applies,No,Neither agree nor disagree,Agree,No,Yes,1.61
1662,dnr81s407y9n1dm1,8/25/2025 13:45,8/25/2025 13:48,Qualified,USA,No Changes,3.27,Dynata,72.559599551300000,1,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,75,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,More than 2 years ago,No,,No,No,Yes,No,No,No,No,No,No,No,1.16,8,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,No,Neither satisfied nor dissatisfied,HAVE TO WEAR READING GLASSES WITH THEM  WHEN RADING,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Agree,Yes,No,2.09
1844,gqavf9bv6psb1xb7,8/25/2025 15:04,8/25/2025 15:10,Qualified,USA,No Changes,5.72,Dynata,67.700841149100000,1,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,26,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,No,,No,No,No,No,No,No,No,No,Yes,No,0.89,16,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,No,Satisfied,They do not cause me discomfort which is very important. I can also wear them all day and not have issues after a few hours.,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Agree,Yes,No,4.81
1884,r809g41swxuk0rwz,8/25/2025 15:08,8/25/2025 15:15,Qualified,USA,No Changes,7.02,Dynata,64.711295052800000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,33,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,More than 2 years ago,No,,Yes,No,No,No,No,No,No,Yes,No,Yes,3.86,12,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,No,Satisfied,I have been using these contact lenses for a while and I have never had any issues them. For the hours I do wear them they help a lot and are co,Agree,Agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,Does not Apply,Applies,Applies,Applies,Applies,No,Neither agree nor disagree,Strongly agree,Yes,No,3.15
2142,j4q6haw09hf2ems5,8/25/2025 16:46,8/25/2025 16:50,Qualified,USA,No Changes,3.93,Dynata,40.000000000000000,2,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,66,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,Yes,No,No,No,No,No,No,,No,No,1.83,12,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Strongly satisfied,easy to wear and comfortable throughout my using them,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Strongly agree,Strongly agree,No,Yes,2.09
